startGMT;endGMT;steps;primaryActivityLevel;activityLevelConstant
2021-05-20T18:15:00.0;2021-05-20T18:30:00.0;82;sedentary;true
2021-05-20T18:30:00.0;2021-05-20T18:45:00.0;0;sedentary;true
2021-05-20T18:45:00.0;2021-05-20T19:00:00.0;0;sedentary;true
2021-05-20T19:00:00.0;2021-05-20T19:15:00.0;0;sedentary;true
2021-05-20T19:15:00.0;2021-05-20T19:30:00.0;0;sedentary;true
2021-05-20T19:30:00.0;2021-05-20T19:45:00.0;0;sedentary;true
2021-05-20T19:45:00.0;2021-05-20T20:00:00.0;0;sedentary;true
2021-05-20T20:00:00.0;2021-05-20T20:15:00.0;0;sedentary;true
2021-05-20T20:15:00.0;2021-05-20T20:30:00.0;0;sedentary;true
2021-05-20T20:30:00.0;2021-05-20T20:45:00.0;0;sedentary;true
2021-05-20T20:45:00.0;2021-05-20T21:00:00.0;36;sedentary;false
2021-05-20T21:00:00.0;2021-05-20T21:15:00.0;0;sedentary;true
2021-05-20T21:15:00.0;2021-05-20T21:30:00.0;0;sleeping;true
2021-05-20T21:30:00.0;2021-05-20T21:45:00.0;0;sleeping;true
2021-05-20T21:45:00.0;2021-05-20T22:00:00.0;0;sleeping;true
2021-05-20T22:00:00.0;2021-05-20T22:15:00.0;0;sleeping;true
2021-05-20T22:15:00.0;2021-05-20T22:30:00.0;0;sleeping;true
2021-05-20T22:30:00.0;2021-05-20T22:45:00.0;0;sleeping;true
2021-05-20T22:45:00.0;2021-05-20T23:00:00.0;13;sleeping;true
2021-05-20T23:00:00.0;2021-05-20T23:15:00.0;0;sleeping;true
2021-05-20T23:15:00.0;2021-05-20T23:30:00.0;0;sleeping;true
2021-05-20T23:30:00.0;2021-05-20T23:45:00.0;6;sleeping;true
2021-05-20T23:45:00.0;2021-05-21T00:00:00.0;0;sleeping;true
2021-05-21T00:00:00.0;2021-05-21T00:15:00.0;0;sleeping;true
2021-05-21T00:15:00.0;2021-05-21T00:30:00.0;0;sleeping;true
2021-05-21T00:30:00.0;2021-05-21T00:45:00.0;0;sleeping;true
2021-05-21T00:45:00.0;2021-05-21T01:00:00.0;0;sleeping;true
2021-05-21T01:00:00.0;2021-05-21T01:15:00.0;0;sleeping;true
2021-05-21T01:15:00.0;2021-05-21T01:30:00.0;0;sleeping;true
2021-05-21T01:30:00.0;2021-05-21T01:45:00.0;0;sleeping;true
2021-05-21T01:45:00.0;2021-05-21T02:00:00.0;0;sleeping;true
2021-05-21T02:00:00.0;2021-05-21T02:15:00.0;0;sleeping;true
2021-05-21T02:15:00.0;2021-05-21T02:30:00.0;0;sleeping;true
2021-05-21T02:30:00.0;2021-05-21T02:45:00.0;0;sleeping;true
2021-05-21T02:45:00.0;2021-05-21T03:00:00.0;0;sleeping;true
2021-05-21T03:00:00.0;2021-05-21T03:15:00.0;0;sleeping;true
2021-05-21T03:15:00.0;2021-05-21T03:30:00.0;0;sleeping;true
2021-05-21T03:30:00.0;2021-05-21T03:45:00.0;0;sleeping;true
